category,make_again,rating,summary,tag,url
5 Summer Salads That Get Better Overnight,,,Not every salad needs to be eaten the day it's made.,article,/recipes-menus/5-summer-salads-that-can-be-made-ahead-of-time-recipes-article
Your New Go-To Cucumber Dish,,,You know that cold cucumber dish you've marveled at in Chinese restaurants? It's shockingly easy to make at home.,article,/recipes-menus/the-easiest-most-impressive-way-to-use-cucumbers-article
Cucumber and Raisin Relish With Mustard Seeds,100%,4,"Golden raisins add a bright sweetness to this fresh take on sweet-and-sour pickles. Serve it with our Cider-Brined, Maple-Glazed Pork Loin, spread it onto sandwiches, or use it to top hot dogs.",recipe,/recipes/food/views/cucumber-and-raisin-relish-with-mustard-seeds
Transform Your Vegetable Garden With This One Simple Quack,,,An ode to the backyard duck.,article,/expert-advice/how-to-raise-ducks-for-a-vegetable-garden-article
41 Three-Ingredient Summer Appetizers,,,Summer snacking doesn't need to be an elaborate affair—try these ideas for easy appetizers with three ingredients or fewer.,article,/expert-advice/3-ingredient-summer-appetizer-recipes-article
Fresh Dill Cucumbers with Lemon,0%,0,Fresh Dill Cucumbers with Lemon,recipe,/recipes/food/views/fresh-dill-cucumbers-with-lemon
How to Preserve Summer's Bounty—No Canning Required,,,You don't need to do the whole hot-water bath thing if you want to preserve fruits and vegetables. Here are 3 alternative methods.,article,/expert-advice/how-to-preserve-summer-vegetables-fruits-without-canning-article
What to Cook This Weekend: Pssst....It's Mother's Day,,,"Feel free to get lost in hazy spring days with these easy, delicious dishes. But when Sunday rolls around, don't forget about your mama.",article,/holidays-events/mothers-day-weekend-brunch-dinner-meal-plan-menu-article
What Makes This Steak Salad So Addictive? The Secret's In the Sauce.,,,It's a marinade. It's a dressing. Is there anything this vibrant green sauce can't do?,article,/recipes-menus/moroccan-chermoula-grilled-steak-salad-sauce-marinade-article
How to Build a Meal Around a Ball of Mozzarella,,,"The fresh, creamy cheese can be turned into so many satisfying, uncomplicated summer meals.",article,/expert-advice/how-to-build-a-meal-around-a-ball-of-fresh-mozzarella-article
The Simple Tool That Makes Food Look Amazing,,,It can shave. It can ribbon. It can curl. It can zest. It can get you at least a hundred new Instagram followers.,article,/expert-advice/how-to-make-shaved-avocado-mango-chocolate-article
The Early-Spring Recipes You Need This Weekend,,,Put away your soup pots and slow cookers and kick off the new season this weekend.,article,/recipes-menus/what-to-cook-this-weekend-march-early-spring-vegetables-article
The Best (and Worst) Produce to Buy Organic,,,Why it might not pay to buy organic mangoes—and why those cheap strawberries might be a bad idea.,article,/expert-advice/the-best-and-worst-produce-to-buy-organic-article
How to Navigate the Pickle Aisle,,,Everything you need to know when buying pickles.,article,/ingredients/ultimate-guide-to-buying-pickles-article
The Best Grocery Store in America Is Net Cost,,,"It's not grim Communist bread lines. It's not Putin-era luxury. It's a wonderland of salt, smoke, and fat.",article,/expert-advice/netcost-best-grocery-store-in-america-article
"Why I Won’t Be Shamed for Cooking “Mom Recipes""",,,Getting dinner on the table night after night is no easy feat. So let's not shame parents who sometimes need to take a shortcut or two.,article,/expert-advice/on-mom-cooking-and-why-we-should-not-knock-it-article
Crispy Pork Lettuce Wraps,100%,4,"Sweet and spicy pork belly lettuce wraps—served with a refreshing cucumber salad—are a cool, crunchy dinner for sweltering August nights.",recipe,/recipes/food/views/crispy-pork-lettuce-wraps-with-spicy-cucumbers-56390119
The Ultimate No-Wilt Lunch Salad,,,Skip the sad spring mix and follow these tips instead.,article,/expert-advice/how-to-pack-a-no-wilt-salad-article
How to Become a Pro Bowler,,,Bowl food doesn't get beautiful (and nutritious) (and filling) automatically—it takes a plan. And there's nobody better to get that plan from than the guy who literally wrote the book on the subject.,article,/expert-advice/how-to-make-grain-noodle-bowls-lukas-volger-article
16 Ways to Cook With Chile Oil,,,"Whether homemade or store-bought, chile oil will add a welcome hit of heat and flavor to almost anything you cook.",article,/ingredients/16-ways-to-cook-with-chile-oil-article
Miso-Cured Black Cod with Chilled Cucumbers,0%,1,Pro tip: Viva brand paper towels are used at Rintaro specifically for insulating the cod from its salty cure and will absorb moisture without falling apart.,recipe,/recipes/food/views/miso-cured-black-cod-with-chilled-cucumbers-56389995
Make a Springtime Sandwich Lunch Buffet for Easter,,,"Easter doesn't have to mean salty ham or long-cooking lamb. Freshen things up with this fun, fresh sandwich spread that's perfect for a holiday crowd.",article,/recipes-menus/easter-easy-holiday-sandwich-lunch-buffet-article
How to Throw a Hot Pot Party With a Slow Cooker,,,"It's the all-you-can-eat fondue party that, thankfully, isn't a fondue party at all.",article,/expert-advice/how-to-throw-hot-pot-party-at-home-article
How to Eat Less Meat (Without Going Cold Turkey),,,Consider shifting meat from the center of your plate to the side.,article,/expert-advice/how-to-move-meat-to-the-side-of-the-plate-article
Cold Asian Noodle Salad,60%,3,"This sweet and spicy pasta salad features chicken—use leftovers or grab a rotisserie chicken at the store. Make it for dinner tonight, or pack it up for lunches—it’ll be just as good tomorrow.",recipe,/recipes/food/views/cold-asian-noodle-salad-with-chicken-and-cucumbers-56389799
We May Have Become Slightly Obsessed With Bowl Food This Year,,,Plates are so 2014.,article,/expert-advice/the-year-of-bowl-food-2015-article
Cucumbers with Scallions and Chili Oil,0%,0,Why waste time with a knife? A simple whack to a cucumber yields jagged surfaces eager to soak up this tangy dressing.,recipe,/recipes/food/views/cucumbers-with-scallions-and-chili-oil-56389645
Strawberry-Cucumber Salad with Lemon Cream,100%,4,Strawberries and cream...and cardamom. The cooling spice and cucumbers give berries an element of intrigue.,recipe,/recipes/food/views/strawberry-cucumber-salad-with-lemon-cream-56389861
Eat Hummus for Dinner,,,Turn your favorite dip into a satisfying meal with these 5 topping ideas.,article,/expert-advice/its-okay-to-eat-hummus-for-dinner-article
The Keys to Making Great Bánh Mì at Home,,,Not making this classic Vietnamese sandwich at home? Don't worry—Sandwich Theory will show you the way.,article,/expert-advice/how-to-make-banh-mi-sandwich-at-home-article
Ginger-Dill Pickles,0%,0,"These herbaceous pickles combine spicy ginger with bright dill. Although cucumbers are classic, cherry tomatoes or green beans would also work well in this brine.",recipe,/recipes/food/views/ginger-dill-pickles-56389773
Sweet and Sour Pickles,100%,2,"These spiced-packed pickles are the perfect combination of tart and sweet, great for pre-dinner snacking or to top a sandwich. Yellow squash is delicious, but the brine also works well with cucumbers, zucchini, onions, or mushrooms.",recipe,/recipes/food/views/sweet-and-sour-pickles-56389775
11 Things You Should Never Put in Your Freezer,,,The freezer is a lifesaver—except when it kills the groceries you put into it.,article,/expert-advice/11-things-you-should-never-put-in-your-freezer-article
How to Put Away Summer Fruits and Vegetables for the Winter,,,Keep a little piece of summer for the rest of the year.,article,/expert-advice/how-to-freeze-summer-fruits-and-vegetables-article
This Weekend: Deep Dive Into Tomato Season,,,Now is the time to eat your weight in tomatoes.,article,/recipes-menus/what-to-cook-this-weekend-all-the-tomatoes-article
Everything You Need to Make Sensational Salads,,,"Recipes, techniques, dressings, and the surprise ingredient you're probably leaving out.",guide,/recipes-menus/salad-recipes-advice-tips-techniques-dressings-package
Charred Romaine Greek Salad With Quinoa-Crusted Feta,100%,4,"I live in New York, where Greek salads are a reliable diner staple. I love the combination of briny Kalamata olives and salty feta cheese mixed with crisp romaine lettuce and refreshing cucumbers. This somewhat deconstructed, twenty-first century version applies the ""warm goat cheese salad"" method to a Greek salad, coating fresh feta slices in egg wash and quinoa and then pan-frying. The result is incredibly delicious—and as good as it looks in the picture!",recipe,/recipes/food/views/charred-romaine-greek-salad-with-quinoa-crusted-feta-56389585
"4 Cool, Refreshing Soups for Summer",,,Because there's no better time to eat soup than the summer. Honest!,article,/expert-advice/refreshing-cold-soups-for-summer-article
How to Pickle Everything,,,The easiest way to preserve summer's flavors? Quick pickle them.,article,/expert-advice/how-to-pickle-basically-everything-article
Why You Should Drink Like a Brit This Summer,,,Summer’s most thirst-quenching cocktails all have one thing in common.,article,/expert-advice/low-alcohol-summer-cocktails-inspired-by-pimms-cup-article
